"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Создание магазина","Магазины","0","2","0","0","0"
"","","","0","9","0","0","0"
"","Валидация создания","Магазины","0","1","0","0","0"
"","Каталог магазинов","Магазины","0","1","0","0","0"
"","Создание магазинов","Магазины","0","2","0","0","0"
"","Вконтакте","Подвал","0","1","0","0","0"
"","Удаление магазина","Магазины","0","1","0","0","0"
"","Удаление магазинов","Магазины","0","2","0","0","0"
"","Валидация ошибок","Магазины","0","1","0","0","0"
"","Меню","Главная","0","2","0","0","0"
"","Получение магазинов","Магазины","0","2","0","0","0"
"","Телеграм","Подвал","0","1","0","0","0"
"","Обновление","Главная","0","1","0","0","0"
